Date,Discipline,Sub-discipline,Gold Name,Gold Country,Silver Name,Silver Country,Bronze Name,Bronze Country,,Record
8/3/2024,Swimming,Men's 100m Butterfly Final,Kristof MILAK,HUN,Josh LIENDO,CAN,Ilya KHARUN,CAN,,
8/3/2024,Athletics,4 x 400m Relay Mixed Final,Netherlands,NED,United States,USA,Great Britain,GBR,,
8/3/2024,Swimming,Women's 200m Individual Medley Final,Summer McINTOSH,CAN,Kate DOUGLASS,USA,Kaylee McKEOWN,AUS,,
8/3/2024,Athletics,Women's 100m Final,Julien ALFRED,LCA,Sha'carri RICHARDSON,USA,Melissa JEFFERSON,USA,,
8/3/2024,Swimming,Women's 800m Freestyle Final,Katie LEDECKY,USA,Ariarne TITMUS,AUS,Paige MADDEN,USA,,
8/3/2024,Athletics,Men's Decathlon 1500m,Markus ROOTH,NOR,Leo NEUGEBAUER,GER,Lindon VICTOR,GRN,,
8/3/2024,Swimming,Mixed 4 x 100m Medley Relay Final,United States,USA,China,CHN,Australia,AUS,,
8/3/2024,Boxing,Women's 60kg - Semifinal,,,,,Beatriz Iasmin SOARES FERREIRA,BRA,,
8/4/2024,Golf,Men's Individual Stroke Play Round 4,Scottie SCHEFFLER,USA,Tommy FLEETWOOD,GBR,MATSUYAMA Hideki,JPN,,
8/4/2024,Equestrian,Dressage Individual Grand Prix Freestyle,Jessica von BREDOW-WERNDL,GER,Isabell WERTH,GER,Charlotte FRY,GBR,,
8/4/2024,Tennis,Women's Doubles Bronze Medal Match,,,,,BCSCA/SORRIBES TORMO,ESP,,
8/4/2024,Tennis,Men's Singles Gold Medal Match,Novak DJOKOVIC,SRB,Carlos ALCARAZ,ESP,,,,
8/4/2024,Tennis,Women's Doubles Gold Medal Match,ERRANI/PAOLINI,ITA,ANDREEVA/SHNAIDER,AIN,,,,
8/4/2024,Boxing,Women's 54kg - Semifinal,,,,,PANG Cholmi,PRK,,
8/4/2024,Boxing,Men's 51kg - Semifinal,,,,,Yunior ALCANTARA REYES,DOM,,
8/4/2024,Boxing,Men's 63.5kg - Semifinal,,,,,Wyatt SANFORD,CAN,,
8/4/2024,Boxing,Men's 80kg - Semifinal,,,,,Cristian Javier PINALES,DOM,,
8/4/2024,Boxing,Men's 92kg - Semifinal,,,,,Enmanuel REYES PLA,ESP,,
8/4/2024,Table Tennis,Men's Singles Bronze Medal Match,,,,,Felix LEBRUN,FRA,,
8/4/2024,Cycling Road,Women's Road Race,Kristen FAULKNER,USA,Marianne VOS,NED,Lotte KOPECKY,BEL,,
8/4/2024,Table Tennis,Men's Singles Gold Medal Match,FAN Zhendong,CHN,Truls MOREGARD,SWE,,,,
8/4/2024,Archery,Men's Individual Bronze Medal Match,,,,,LEE Wooseok,KOR,,
8/4/2024,Archery,Men's Individual Gold Medal Match,KIM Woojin,KOR,Brady ELLISON,USA,,,,
8/4/2024,Artistic Gymnastics,Men's Rings Final,LIU Yang,CHN,ZOU Jingyuan,CHN,Eleftherios PETROUNIAS,GRE,,
8/4/2024,Badminton,Men's Doubles Bronze Medal Match,,,,,CHIA/SOH,MAS,,
8/4/2024,Badminton,Men's Doubles Gold Medal Match,LEE/WANG,TPE,LIANG/WANG,CHN,,,,
8/4/2024,Shooting,Skeet Women's Final,Francisca CROVETTO CHADID,CHI,Amber Jo RUTTER,GBR,Austen Jewell SMITH,USA,,
8/4/2024,Artistic Gymnastics,Women's Uneven Bars Final,Kaylia NEMOUR,ALG,QIU Qiyuan,CHN,Sunisa LEE,USA,,
8/4/2024,Artistic Gymnastics,Men's Vault Final,Carlos Edriel YULO,PHI,Artur DAVTYAN,ARM,Harry HEPWORTH,GBR,,
8/4/2024,Boxing,Women's 54kg - Semifinal,,,,,IM Aeji,KOR,,
