name,year,state,search_interest
Kakuna,2024,Wyoming,0
Beedrill,2024,Alabama,33
Beedrill,2024,Alaska,100
Beedrill,2024,Arizona,42
Beedrill,2024,Arkansas,36
Beedrill,2024,California,42
Beedrill,2024,Colorado,39
Beedrill,2024,Connecticut,45
Beedrill,2024,Delaware,48
Beedrill,2024,District of Columbia,0
Beedrill,2024,Florida,39
Beedrill,2024,Georgia,33
Beedrill,2024,Hawaii,54
Beedrill,2024,Idaho,54
Beedrill,2024,Illinois,42
Beedrill,2024,Indiana,54
Beedrill,2024,Iowa,42
Beedrill,2024,Kansas,42
Beedrill,2024,Kentucky,39
Beedrill,2024,Louisiana,24
Beedrill,2024,Maine,30
Beedrill,2024,Maryland,51
Beedrill,2024,Massachusetts,42
Beedrill,2024,Michigan,42
Beedrill,2024,Minnesota,45
Beedrill,2024,Mississippi,33
Beedrill,2024,Missouri,39
Beedrill,2024,Montana,0
Beedrill,2024,Nebraska,36
Beedrill,2024,Nevada,45
Beedrill,2024,New Hampshire,48
Beedrill,2024,New Jersey,39
Beedrill,2024,New Mexico,45
Beedrill,2024,New York,30
Beedrill,2024,North Carolina,42
Beedrill,2024,North Dakota,0
Beedrill,2024,Ohio,45
Beedrill,2024,Oklahoma,45
Beedrill,2024,Oregon,48
Beedrill,2024,Pennsylvania,39
Beedrill,2024,Rhode Island,42
Beedrill,2024,South Carolina,45
Beedrill,2024,South Dakota,57
Beedrill,2024,Tennessee,42
Beedrill,2024,Texas,39
Beedrill,2024,Utah,51
Beedrill,2024,Vermont,57
Beedrill,2024,Virginia,39
Beedrill,2024,Washington,51
Beedrill,2024,West Virginia,63
Beedrill,2024,Wisconsin,42
Beedrill,2024,Wyoming,60
Pidgey,2024,Alabama,50
Pidgey,2024,Alaska,0
Pidgey,2024,Arizona,56
Pidgey,2024,Arkansas,53
Pidgey,2024,California,53
Pidgey,2024,Colorado,46
Pidgey,2024,Connecticut,53
Pidgey,2024,Delaware,56
Pidgey,2024,District of Columbia,26
Pidgey,2024,Florida,46
Pidgey,2024,Georgia,43
Pidgey,2024,Hawaii,73
Pidgey,2024,Idaho,60
Pidgey,2024,Illinois,50
Pidgey,2024,Indiana,56
Pidgey,2024,Iowa,83
Pidgey,2024,Kansas,43
Pidgey,2024,Kentucky,56
Pidgey,2024,Louisiana,50
Pidgey,2024,Maine,53
Pidgey,2024,Maryland,43
Pidgey,2024,Massachusetts,43
Pidgey,2024,Michigan,50
Pidgey,2024,Minnesota,43
Pidgey,2024,Mississippi,53
Pidgey,2024,Missouri,56
Pidgey,2024,Montana,43
Pidgey,2024,Nebraska,46
Pidgey,2024,Nevada,50
Pidgey,2024,New Hampshire,30
Pidgey,2024,New Jersey,43
Pidgey,2024,New Mexico,33
Pidgey,2024,New York,40
Pidgey,2024,North Carolina,56
Pidgey,2024,North Dakota,100
Pidgey,2024,Ohio,50
Pidgey,2024,Oklahoma,56
Pidgey,2024,Oregon,60
Pidgey,2024,Pennsylvania,50
Pidgey,2024,Rhode Island,40
Pidgey,2024,South Carolina,50
Pidgey,2024,South Dakota,43
Pidgey,2024,Tennessee,53
Pidgey,2024,Texas,46
Pidgey,2024,Utah,56
Pidgey,2024,Vermont,0
Pidgey,2024,Virginia,43
Pidgey,2024,Washington,60
Pidgey,2024,West Virginia,66
Pidgey,2024,Wisconsin,70
Pidgey,2024,Wyoming,66
Pidgeotto,2024,Alabama,58
Pidgeotto,2024,Alaska,0
Pidgeotto,2024,Arizona,75
Pidgeotto,2024,Arkansas,66
Pidgeotto,2024,California,66
Pidgeotto,2024,Colorado,66
Pidgeotto,2024,Connecticut,41
Pidgeotto,2024,Delaware,0
Pidgeotto,2024,District of Columbia,0
Pidgeotto,2024,Florida,58
Pidgeotto,2024,Georgia,58
Pidgeotto,2024,Hawaii,100
Pidgeotto,2024,Idaho,83
Pidgeotto,2024,Illinois,66
Pidgeotto,2024,Indiana,75
Pidgeotto,2024,Iowa,58
Pidgeotto,2024,Kansas,58
Pidgeotto,2024,Kentucky,83
Pidgeotto,2024,Louisiana,50
Pidgeotto,2024,Maine,66
Pidgeotto,2024,Maryland,50
Pidgeotto,2024,Massachusetts,41
Pidgeotto,2024,Michigan,58
Pidgeotto,2024,Minnesota,66
Pidgeotto,2024,Mississippi,33
Pidgeotto,2024,Missouri,66
Pidgeotto,2024,Montana,0
Pidgeotto,2024,Nebraska,41
Pidgeotto,2024,Nevada,91
Pidgeotto,2024,New Hampshire,75
