name,state,congress,start_date,end_date
"Tazewell, Henry",VA,THIRD Congress,1794-04-24,
"Latimer, Henry",DE,THIRD Congress,1795-02-07,
"Bingham, William",PA,FOURTH Congress,1795-03-04,
"Bloodworth, Timothy",NC,FOURTH Congress,1795-03-04,
"Marshall, Humphrey",KY,FOURTH Congress,1795-03-04,
"Paine, Elijah",VT,FOURTH Congress,1795-03-04,
"Read, Jacob",SC,FOURTH Congress,1795-03-04,
"Trumbull, Jonathan, Jr.",CT,FOURTH Congress,1795-03-04,
"Tattnall, Josiah",GA,FOURTH Congress,1796-04-12,
"Hillhouse, James",CT,FOURTH Congress,1796-05-18,
"Goodhue, Benjamin",MA,FOURTH Congress,1796-06-11,
"Sedgwick, Theodore",MA,FOURTH Congress,1796-06-11,
"Blount, William",TN,FOURTH Congress,1796-08-02,
"Cocke, William",TN,FOURTH Congress,1796-08-02,
"Tracy, Uriah",CT,FOURTH Congress,1796-10-13,
"Tichenor, Isaac",VT,FOURTH Congress,1796-10-18,
"Hunter, John",SC,FOURTH Congress,1796-12-08,
"Schuyler, Philip J.",NY,FIFTH Congress,1797-03-04,
"Jackson, Andrew",TN,FIFTH Congress,1797-03-04,
"Chipman, Nathaniel",VT,FIFTH Congress,1797-10-17,
"Lloyd, James",MD,FIFTH Congress,1797-12-08,
"Hobart, John S.",NY,FIFTH Congress,1798-01-11,
"Clayton, Joshua",DE,FIFTH Congress,1798-01-19,
"North, William",NY,FIFTH Congress,1798-05-15,
"Watson, James",NY,FIFTH Congress,1798-08-17,
"Smith, Daniel",TN,FIFTH Congress,1798-10-06,
"Davenport, Franklin",NJ,FIFTH Congress,1798-12-05,
"Pinckney, Charles",SC,FIFTH Congress,1798-12-06,
"Wells, William Hill",DE,FIFTH Congress,1799-01-17,
"Anderson, Joseph",TN,SIXTH Congress,1799-03-04,
"Baldwin, Abraham",GA,SIXTH Congress,1799-03-04,
"Cocke, William",TN,SIXTH Congress,1799-03-04,
"Dayton, Jonathan",NJ,SIXTH Congress,1799-03-04,
"Dexter, Samuel",MA,SIXTH Congress,1799-03-04,
"Franklin, Jesse",NC,SIXTH Congress,1799-03-04,
"Schureman, James",NJ,SIXTH Congress,1799-03-04,
