name,state,congress,start_date,end_date
"Miller, John F.",CA,SEVENTH Congress,1881-03-04,
"Mitchell, John I.",PA,SEVENTH Congress,1881-03-04,
"Platt, Thomas C.",NY,SEVENTH Congress,1881-03-04,
"Sawyer, Philetus",WI,SEVENTH Congress,1881-03-04,
"Sewell, William J.",NJ,SEVENTH Congress,1881-03-04,
"Sherman, John",OH,SEVENTH Congress,1881-03-04,
"Van Wyck, Charles H.",NE,SEVENTH Congress,1881-03-04,
"McDill, James W.",IA,SEVENTH Congress,1881-03-08,
"Edgerton, A.J.",MN,SEVENTH Congress,1881-03-12,
"Cameron, Angus",WI,SEVENTH Congress,1881-03-14,
"Frye, William P.",ME,SEVENTH Congress,1881-03-18,
"Miller, Warner",NY,SEVENTH Congress,1881-07-16,
"Lapham, Elbridge G.",NY,SEVENTH Congress,1881-07-22,
"Aldrich, Nelson W.",RI,SEVENTH Congress,1881-10-05,
"Windom, William",MN,SEVENTH Congress,1881-10-05,
"Chilcott, George M.",CO,SEVENTH Congress,1882-04-17,
"Tabor, Horace A.W.",CO,SEVENTH Congress,1883-01-27,
"Bowen, Thomas M.",CO,EIGHTH Congress,1883-03-04,
"Cullom, Shelby M.",IL,EIGHTH Congress,1883-03-04,
"Colquitt, Alfred H.",GA,EIGHTH Congress,1883-03-04,
"Dolph, Joseph N.",OR,EIGHTH Congress,1883-03-04,
"Gibson, Randall L.",LA,EIGHTH Congress,1883-03-04,
"Kenna, John E.",WV,EIGHTH Congress,1883-03-04,
"Manderson, Charles F.",NE,EIGHTH Congress,1883-03-04,
"Palmer, Thomas W.",MI,EIGHTH Congress,1883-03-04,
"Pike, Austin F.",NH,EIGHTH Congress,1883-03-04,
"Riddleberger, Harrison H.",VA,EIGHTH Congress,1883-03-04,
"Sabin, Dwight M.",MN,EIGHTH Congress,1883-03-04,
"Wilson, James F.",IA,EIGHTH Congress,1883-03-04,
"Chace, Jonathan",RI,EIGHTH Congress,1885-01-20,
"Blackburn, Joseph C.S.",KY,NINTH Congress,1885-03-04,
"Eustis, James B.",LA,NINTH Congress,1885-03-04,
"Evarts, William M.",NY,NINTH Congress,1885-03-04,
"Jones, James K.",AR,NINTH Congress,1885-03-04,
"Payne, Henry B.",OH,NINTH Congress,1885-03-04,
"Spooner, John Coit",WI,NINTH Congress,1885-03-04,
"Stanford, Leland",CA,NINTH Congress,1885-03-04,
"Teller, Henry M.",CO,NINTH Congress,1885-03-04,
"Wilson, Ephraim King",MD,NINTH Congress,1885-03-04,
"Walthall, Edward C.",MS,NINTH Congress,1885-03-09,
"Gray, George",DE,NINTH Congress,1885-03-18,
"Berry, James H.",AR,NINTH Congress,1885-03-20,
"Hearst, George",CA,NINTH Congress,1886-03-23,
"Whitthorne, Washington C.",TN,NINTH Congress,1886-04-16,
"Williams, Abram P.",CA,NINTH Congress,1886-08-04,
"Farwell, Charles B.",IL,NINTH Congress,1887-01-19,
"Bate, William B.",TN,FIFTIETH Congress,1887-03-04,
"Blodgett, Rufus",NJ,FIFTIETH Congress,1887-03-04,
"Daniel, John W.",VA,FIFTIETH Congress,1887-03-04,
"Davis, Cushman K.",MN,FIFTIETH Congress,1887-03-04,
"Faulkner, Charles J.",WV,FIFTIETH Congress,1887-03-04,
"Hearst, George",CA,FIFTIETH Congress,1887-03-04,
"Hiscock, Frank",NY,FIFTIETH Congress,1887-03-04,
"Paddock, Algernon S.",NE,FIFTIETH Congress,1887-03-04,
"Quay, Matthew S.",PA,FIFTIETH Congress,1887-03-04,
"Reagan, John H.",TX,FIFTIETH Congress,1887-03-04,
"Stewart, William M.",NV,FIFTIETH Congress,1887-03-04,
"Stockbridge, Francis B.",MI,FIFTIETH Congress,1887-03-04,
"Turpie, David",IN,FIFTIETH Congress,1887-03-04,
"Pasco, Samuel",FL,FIFTIETH Congress,1887-05-19,
"Chandler, William E.",NH,FIFTIETH Congress,1887-06-14,
"Barbour, John S., Jr.",VA,FIRST Congress,1889-03-04,
"Higgins, Anthony",DE,FIRST Congress,1889-03-04,
"Marston, Gilman",NH,FIRST Congress,1889-03-04,
"McMillan, James",MI,FIRST Congress,1889-03-04,
"Washburn, William D.",MN,FIRST Congress,1889-03-04,
"Wolcott, Edward O.",CO,FIRST Congress,1889-03-04,
"Dixon, Nathan F.",RI,FIRST Congress,1889-04-10,
"Chandler, William E.",NH,FIRST Congress,1889-06-18,
"Pettigrew, Richard F.",SD,FIRST Congress,1889-06-18,
"Squire, Watson C.",WA,FIRST Congress,1889-06-18,
"Sanders, Wilbur F.",MT,FIRST Congress,1890-01-01,
"Power, Thomas C.",MT,FIRST Congress,1890-01-02,
"Carlisle, John G.",KY,FIRST Congress,1890-05-17,
"Shoup, George L.",ID,FIRST Congress,1890-05-17,
"Brice, Calvin S.",OH,SECOND Congress,1891-03-04,
"Dubois, Fred T.",ID,SECOND Congress,1891-03-04,
"Gallinger, Jacob H.",NH,SECOND Congress,1891-03-04,
"Gordon, John B.",GA,SECOND Congress,1891-03-04,
"Hansbrough, Henry C.",ND,SECOND Congress,1891-03-04,
"Irby, John L.M.",SC,SECOND Congress,1891-03-04,
"Kyle, James H.",SD,SECOND Congress,1891-03-04,
"Palmer, John M.",IL,SECOND Congress,1891-03-04,
"Peffer, William A.",KS,SECOND Congress,1891-03-04,
"Vilas, William F.",WI,SECOND Congress,1891-03-04,
"White, Edward D.",LA,SECOND Congress,1891-03-04,
"Felton, Charles N.",CA,SECOND Congress,1891-03-19,
"Chilton, Horace",TX,SECOND Congress,1891-06-10,
"Perkins, Bishop W.",KS,SECOND Congress,1892-01-01,
"Hill, David B.",NY,SECOND Congress,1892-01-07,
"Mills, Roger Q.",TX,SECOND Congress,1892-03-29,
"Hunton, Eppa",VA,SECOND Congress,1892-05-28,
"Camden, Johnson N.",WV,SECOND Congress,1893-01-25,
"Lindsay, William",KY,SECOND Congress,1893-02-15,
"Roach, William N.",ND,THIRD Congress,1893-03-04,
"White, Stephen M.",CA,THIRD Congress,1893-03-04,
"Allen, William V.",NE,THIRD Congress,1893-03-04,
"Lodge, Henry Cabot",MA,THIRD Congress,1893-03-04,
"Martin, John",KS,THIRD Congress,1893-03-04,
"Mitchell, John L.",WI,THIRD Congress,1893-03-04,
"Murphy, Edward, Jr.",NY,THIRD Congress,1893-03-04,
"Smith, James, Jr.",NJ,THIRD Congress,1893-03-04,
"Perkins, George C.",CA,THIRD Congress,1893-07-26,
"McLaurin, Anselm J.",MS,THIRD Congress,1894-02-07,
"Blanchard, Newton",LA,THIRD Congress,1894-03-12,
"Walsh, Patrick",GA,THIRD Congress,1894-04-02,
"Jarvis, Thomas J.",NC,THIRD Congress,1894-04-19,
"Patton, John, Jr.",MI,THIRD Congress,1894-05-05,
"Mantle, Lee",MT,THIRD Congress,1895-01-16,
"Burrows, Julius C.",MI,THIRD Congress,1895-01-23,
"Pritchard, Jeter C.",NC,THIRD Congress,1895-01-24,
"Clark, Clarence D.",WY,THIRD Congress,1895-01-24,
"Wilson, John L.",WA,THIRD Congress,1895-02-19,
"Bacon, Augustus O.",GA,FOURTH Congress,1895-03-04,
"Baker, Lucien",KS,FOURTH Congress,1895-03-04,
"Butler, Marion",NC,FOURTH Congress,1895-03-04,
"Carter, Thomas H.",MT,FOURTH Congress,1895-03-04,
"Chilton, Horace",TX,FOURTH Congress,1895-03-04,
"Elkins, Stephen B.",WV,FOURTH Congress,1895-03-04,
"Gear, John H.",IA,FOURTH Congress,1895-03-04,
"Martin, Thomas S.",VA,FOURTH Congress,1895-03-04,
"McBride, George W.",OR,FOURTH Congress,1895-03-04,
"Nelson, Knute",MN,FOURTH Congress,1895-03-04,
"Sewell, William J.",NJ,FOURTH Congress,1895-03-04,
"Thurston, John M.",NE,FOURTH Congress,1895-03-04,
"Tillman, Benjamin R.",SC,FOURTH Congress,1895-03-04,
"Warren, Francis E.",WY,FOURTH Congress,1895-03-04,
"Walthall, Edward C.",MS,FOURTH Congress,1895-03-04,
"Wetmore, George P.",RI,FOURTH Congress,1895-03-04,
"Brown, Arthur",UT,FOURTH Congress,1896-01-22,
"Cannon, Frank J.",UT,FOURTH Congress,1896-01-22,
"Kenney, Richard R.",DE,FOURTH Congress,1897-01-19,
"Clay, Alexander S.",GA,FIFTH Congress,1897-03-04,
"Deboe, William J.",KY,FIFTH Congress,1897-03-04,
"Earle, Joseph H.",SC,FIFTH Congress,1897-03-04,
"Fairbanks, Charles W.",IN,FIFTH Congress,1897-03-04,
"Foraker, Joseph B.",OH,FIFTH Congress,1897-03-04,
"Harris, William A.",KS,FIFTH Congress,1897-03-04,
"Heitfeld, Henry",ID,FIFTH Congress,1897-03-04,
"Mason, William E.",IL,FIFTH Congress,1897-03-04,
"McEnery, Samuel D.",LA,FIFTH Congress,1897-03-04,
"Penrose, Boies",PA,FIFTH Congress,1897-03-04,
"Pettus, Edmund W.",AL,FIFTH Congress,1897-03-04,
"Platt, Thomas C.",NY,FIFTH Congress,1897-03-04,
"Rawlins, Joseph L.",UT,FIFTH Congress,1897-03-04,
"Spooner, John C.",WI,FIFTH Congress,1897-03-04,
"Wellington, George L.",MD,FIFTH Congress,1897-03-04,
"Hanna, Marcus A.",OH,FIFTH Congress,1897-03-05,
"Mallory, Stephen",FL,FIFTH Congress,1897-05-15,
"McLaurin, John L.",SC,FIFTH Congress,1897-06-01,
"Turley, Thomas B.",TN,FIFTH Congress,1897-07-20,
"Money, Hernando D.",MS,FIFTH Congress,1897-10-08,
"Sullivan, William Van Amberg",MS,FIFTH Congress,1898-05-31,
"Simon, Joseph",OR,FIFTH Congress,1898-10-08,
"Ross, Jonathan",VT,FIFTH Congress,1899-01-11,
"Beveridge, Albert J.",IN,SIXTH Congress,1899-03-04,
"Clark, William A.",MT,SIXTH Congress,1899-03-04,
"Culberson, Charles A.",TX,SIXTH Congress,1899-03-04,
"Depew, Chauncey M.",NY,SIXTH Congress,1899-03-04,
"Foster, Addison G.",WA,SIXTH Congress,1899-03-04,
"Kean, John",NJ,SIXTH Congress,1899-03-04,
"McComas, Louis E.",MD,SIXTH Congress,1899-03-04,
"McCumber, Porter J.",ND,SIXTH Congress,1899-03-04,
"Quarles, Joseph V.",WI,SIXTH Congress,1899-03-04,
"Scott, Nathan B.",WV,SIXTH Congress,1899-03-04,
"Hayward, Monroe L.",NE,SIXTH Congress,1899-03-08,
"Taliaferro, James P.",FL,SIXTH Congress,1899-04-19,
"Bard, Thomas R.",CA,SIXTH Congress,1900-02-07,
"Dolliver, Jonathan P.",IA,SIXTH Congress,1900-08-22,
"Dillingham, William P.",VT,SIXTH Congress,1900-10-18,
"Towne, Charles A.",MN,SIXTH Congress,1900-12-05,
"Quay, Matthew S.",PA,SIXTH Congress,1901-01-16,
"Kearns, Thomas",UT,SIXTH Congress,1901-01-23,
"Clapp, Moses E.",MN,SIXTH Congress,1901-01-28,
"Bailey, Joseph W.",TX,SEVENTH Congress,1901-03-04,
"Blackburn, Joseph C.S.",KY,SEVENTH Congress,1901-03-04,
"Burnham, Henry E.",NH,SEVENTH Congress,1901-03-04,
"Burton, Joseph R.",KS,SEVENTH Congress,1901-03-04,
"Carmack, Edward W.",TN,SEVENTH Congress,1901-03-04,
"Clark, William A.",MT,SEVENTH Congress,1901-03-04,
"Dubois, Fred T.",ID,SEVENTH Congress,1901-03-04,
"Foster, Murphy J.",LA,SEVENTH Congress,1901-03-04,
"Gamble, Robert J.",SD,SEVENTH Congress,1901-03-04,
"McLaurin, Anselm J.",MS,SEVENTH Congress,1901-03-04,
"Mitchell, John H.",OR,SEVENTH Congress,1901-03-04,
"Patterson, Thomas M.",CO,SEVENTH Congress,1901-03-04,
"Simmons, Furnifold M.",NC,SEVENTH Congress,1901-03-04,
"Gibson, Paris",MT,SEVENTH Congress,1901-03-07,
"Dietrich, Charles H.",NE,SEVENTH Congress,1901-03-28,
"Millard, Joseph H.",NE,SEVENTH Congress,1901-03-28,
"Kittredge, Alfred B.",SD,SEVENTH Congress,1901-07-01,
"Dryden, John F.",NJ,SEVENTH Congress,1902-01-29,
"Allee, J. Frank",DE,SEVENTH Congress,1903-03-03,
"Ball, L. Heisler",DE,SEVENTH Congress,1903-03-03,
"Ankeny, Levi",WA,EIGHTH Congress,1903-03-04,
"Clarke, James P.",AR,EIGHTH Congress,1903-03-04,
"Fulton, Charles W.",OR,EIGHTH Congress,1903-03-04,
"Gorman, Arthur P.",MD,EIGHTH Congress,1903-03-04,
"Heyburn, Weldon B.",ID,EIGHTH Congress,1903-03-04,
"Hopkins, Albert J.",IL,EIGHTH Congress,1903-03-04,
"Latimer, Asbury C.",SC,EIGHTH Congress,1903-03-04,
"Long, Chester I.",KS,EIGHTH Congress,1903-03-04,
"McCreary, James B.",KY,EIGHTH Congress,1903-03-04,
"Newlands, Francis G.",NV,EIGHTH Congress,1903-03-04,
"Overman, Lee S.",NC,EIGHTH Congress,1903-03-04,
"Smoot, Reed",UT,EIGHTH Congress,1903-03-04,
"Stone, William J.",MO,EIGHTH Congress,1903-03-04,
"Dick, Charles W.F.",OH,EIGHTH Congress,1904-03-02,
"Knox, Philander C.",PA,EIGHTH Congress,1904-06-10,
"Crane, Winthrop Murray",MA,EIGHTH Congress,1904-10-12,
"Bulkeley, Morgan G.",CT,NINTH Congress,1905-03-04,
"Burkett, Elmer J.",NE,NINTH Congress,1905-03-04,
"Carter, Thomas H.",MT,NINTH Congress,1905-03-04,
"Flint, Frank P.",CA,NINTH Congress,1905-03-04,
"Hemenway, James A.",IN,NINTH Congress,1905-03-04,
"Nixon, George S.",NV,NINTH Congress,1905-03-04,
"Piles, Samuel H.",WA,NINTH Congress,1905-03-04,
"Rayner, Isidor",MD,NINTH Congress,1905-03-04,
"Sutherland, George",UT,NINTH Congress,1905-03-04,
"Warner, William",MO,NINTH Congress,1905-03-18,
"Frazier, James B.",TN,NINTH Congress,1905-03-21,
"Brandegee, Frank B.",CT,NINTH Congress,1905-05-10,
"Gearin, John M.",OR,NINTH Congress,1905-12-09,
"La Follette, Robert M.",WI,NINTH Congress,1906-01-04,
"Whyte, William Pinkney",MD,NINTH Congress,1906-06-08,
"Benson, Alfred W.",KS,NINTH Congress,1906-06-11,
"du Pont, Henry A.",DE,NINTH Congress,1906-06-13,
"Mulkey, Frederick W.",OR,NINTH Congress,1907-01-23,
"Curtis, Charles",KS,NINTH Congress,1907-01-29,
"Smith, William Alden",MI,NINTH Congress,1907-02-09,
"Borah, William E.",ID,SIXTIETH Congress,1907-03-04,
"Bourne, Jonathan, Jr.",OR,SIXTIETH Congress,1907-03-04,
"Briggs, Frank O.",NJ,SIXTIETH Congress,1907-03-04,
"Brown, Norris",NE,SIXTIETH Congress,1907-03-04,
"Davis, Jeff",AR,SIXTIETH Congress,1907-03-04,
"Dixon, Joseph M.",MT,SIXTIETH Congress,1907-03-04,
"Guggenheim, Simon",CO,SIXTIETH Congress,1907-03-04,
"Paynter, Thomas H.",KY,SIXTIETH Congress,1907-03-04,
"Richardson, Harry A.",DE,SIXTIETH Congress,1907-03-04,
"Taylor, Robert L.",TN,SIXTIETH Congress,1907-03-04,
"Stephenson, Isaac",WI,SIXTIETH Congress,1907-05-17,
"Bankhead, John H.",AL,SIXTIETH Congress,1907-06-18,
"Johnston, Joseph F.",AL,SIXTIETH Congress,1907-08-07,
"Owen, Robert L.",OK,SIXTIETH Congress,1907-08-07,
"Wetmore, George Peabody",RI,SIXTIETH Congress,1908-01-22,
"Gary, Frank B.",SC,SIXTIETH Congress,1908-03-06,
"Stewart, John W.",VT,SIXTIETH Congress,1908-03-24,
"Smith, John Walter",MD,SIXTIETH Congress,1908-03-25,
"Milton, William H.",FL,SIXTIETH Congress,1908-03-27,
"Page, Carroll S.",VT,SIXTIETH Congress,1908-10-21,
"Bradley, William O.",KY,FIRST Congress,1909-03-04,
"Bristow, Joseph L.",KS,FIRST Congress,1909-03-04,
"Burton, Theodore E.",OH,FIRST Congress,1909-03-04,
"Chamberlain, George E.",OR,FIRST Congress,1909-03-04,
"Crawford, Coe I.",SD,FIRST Congress,1909-03-04,
"Fletcher, Duncan U.",FL,FIRST Congress,1909-03-04,
"Hughes, Charles James, Jr.",CO,FIRST Congress,1909-03-04,
"Johnson, Martin N.",ND,FIRST Congress,1909-03-04,
"Jones, Wesley L.",WA,FIRST Congress,1909-03-04,
"Root, Elihu",NY,FIRST Congress,1909-03-04,
"Shively, Benjamin F.",IN,FIRST Congress,1909-03-04,
"Smith, Ellison D.",SC,FIRST Congress,1909-03-04,
"Oliver, George T.",PA,FIRST Congress,1909-03-17,
"Lorimer, William",IL,FIRST Congress,1909-06-18,
"Purcell, William E.",ND,FIRST Congress,1910-02-01,
"Percy, Le Roy",MS,FIRST Congress,1910-02-24,
"Swanson, Claude A.",VA,FIRST Congress,1910-08-01,
"Thornton, John R.",LA,FIRST Congress,1910-12-07,
"Elkins, Davis",WV,FIRST Congress,1911-01-09,
"Gronna, Asle J.",ND,FIRST Congress,1911-02-02,
"Watson, Clarence W.",WV,FIRST Congress,1911-02-02,
"Bryan, Nathan P.",FL,SECOND Congress,1911-03-04,
"Chilton, William E.",WV,SECOND Congress,1911-03-04,
"Lea, Luke",TN,SECOND Congress,1911-03-04,
"Lippitt, Henry F.",RI,SECOND Congress,1911-03-04,
"Hitchcock, Gilbert M.",NE,SECOND Congress,1911-03-04,
"Johnson, Charles F.",ME,SECOND Congress,1911-03-04,
"Kern, John W.",IN,SECOND Congress,1911-03-04,
"McLean, George P.",CT,SECOND Congress,1911-03-04,
"Martine, James E.",NJ,SECOND Congress,1911-03-04,
"Myers, Henry L.",MT,SECOND Congress,1911-03-04,
"Poindexter, Miles",WA,SECOND Congress,1911-03-04,
"Pomerene, Atlee",OH,SECOND Congress,1911-03-04,
"Reed, James A.",MO,SECOND Congress,1911-03-04,
"Townsend, Charles",MI,SECOND Congress,1911-03-04,
"Williams, John Sharp",MS,SECOND Congress,1911-03-04,
"Works, John D.",CA,SECOND Congress,1911-03-04,
"O'Gorman, James A.",NY,SECOND Congress,1911-03-31,
"Kenyon, William S.",IA,SECOND Congress,1911-04-12,
"Catron, Thomas B.",NM,SECOND Congress,1912-03-27,
"Fall, Albert B.",NM,SECOND Congress,1912-03-27,
"Smith, Marcus A.",AZ,SECOND Congress,1912-03-27,
"Sanders, Newell",TN,SECOND Congress,1912-04-08,
"Massey, William A.",NV,SECOND Congress,1912-07-01,
"Johnston, Rienzi",TX,SECOND Congress,1913-01-04,
"Heiskell, John N.",AR,SECOND Congress,1913-01-06,
"Thomas, Charles S.",CO,SECOND Congress,1913-01-15,
"Webb, William R.",TN,SECOND Congress,1913-01-24,
"Kavanaugh, William M.",AR,SECOND Congress,1913-01-29,
"Pittman, Key",NV,SECOND Congress,1913-01-29,
"Brady, James H.",ID,SECOND Congress,1913-02-06,
"Burleigh, Edwin C.",ME,THIRD Congress,1913-03-04,
"Colt, LeBaron B.",RI,THIRD Congress,1913-03-04,
"Goff, Nathan",WV,THIRD Congress,1913-03-04,
"Hughes, William",NJ,THIRD Congress,1913-03-04,
"James, Ollie M.",KY,THIRD Congress,1913-03-04,
"Lane, Harry",OR,THIRD Congress,1913-03-04,
"Norris, George W.",NE,THIRD Congress,1913-03-04,
"Ransdell, Joseph E.",LA,THIRD Congress,1913-03-04,
"Robinson, Joseph T.",AR,THIRD Congress,1913-03-04,
"Saulsbury, Willard, Jr.",DE,THIRD Congress,1913-03-04,
"Shafroth, John F.",CO,THIRD Congress,1913-03-04,
"Shields, John K.",TN,THIRD Congress,1913-03-04,
"Sterling, Thomas",SD,THIRD Congress,1913-03-04,
"Thompson, William H.",KS,THIRD Congress,1913-03-04,
"Vardaman, James K.",MS,THIRD Congress,1913-03-04,
"Walsh, Thomas J.",MT,THIRD Congress,1913-03-04,
"Weeks, John W.",MA,THIRD Congress,1913-03-04,
"Hollis, Henry F.",NH,THIRD Congress,1913-03-13,
"Lewis, James Hamilton",IL,THIRD Congress,1913-03-23,
"Sherman, Lawrence Y.",IL,THIRD Congress,1913-03-26,
"Lee, Blair",MD,THIRD Congress,1914-01-29,
"West, William S.",GA,THIRD Congress,1914-03-02,
"White, Francis S.",AL,THIRD Congress,1914-05-11,
"Camden, Johnson N., Jr.",KY,THIRD Congress,1914-06-16,
"Beckham, John C.W.",KY,FOURTH Congress,1915-03-04,
"Broussard, Robert F.",LA,FOURTH Congress,1915-03-04,
"Curtis, Charles",KS,FOURTH Congress,1915-03-04,
"Harding, Warren G.",OH,FOURTH Congress,1915-03-04,
"Husting, Paul O.",WI,FOURTH Congress,1915-03-04,
"Johnson, Edwin S.",SD,FOURTH Congress,1915-03-04,
"Phelan, James D.",CA,FOURTH Congress,1915-03-04,
"Underwood, Oscar W.",AL,FOURTH Congress,1915-03-04,
"Wadsworth, James W., Jr.",NY,FOURTH Congress,1915-03-04,
"Taggart, Thomas",IN,FOURTH Congress,1916-03-20,
"Watson, James E.",IN,FOURTH Congress,1916-03-20,
"Calder, William M.",NY,FIFTH Congress,1917-03-04,
"France, Joseph I.",MD,FIFTH Congress,1917-03-04,
"Frelinghuysen, Joseph S.",NJ,FIFTH Congress,1917-03-04,
"Gerry, Peter G.",RI,FIFTH Congress,1917-03-04,
"Hale, Frederick",ME,FIFTH Congress,1917-03-04,
"Jones, Andrieus A.",NM,FIFTH Congress,1917-03-04,
"Kellogg, Frank B.",MN,FIFTH Congress,1917-03-04,
"Kendrick, John B.",WY,FIFTH Congress,1917-03-04,
"King, William H.",UT,FIFTH Congress,1917-03-04,
"Knox, Philander C.",PA,FIFTH Congress,1917-03-04,
"McKellar, Kenneth",TN,FIFTH Congress,1917-03-04,
"New, Harry S.",IN,FIFTH Congress,1917-03-04,
"Sutherland, Howard",WV,FIFTH Congress,1917-03-04,
"Trammel, Park",FL,FIFTH Congress,1917-03-04,
"Wolcott, Josiah O.",DE,FIFTH Congress,1917-03-04,
"Johnson, Hiram W.",CA,FIFTH Congress,1917-03-16,
"McNary, Charles L.",OR,FIFTH Congress,1917-05-29,
"Henderson, Charles B.",NV,FIFTH Congress,1918-01-01,
"Nugent, John F.",ID,FIFTH Congress,1918-01-22,
"Baird, David",NJ,FIFTH Congress,1918-02-23,
"Lenroot, Irvine L.",WI,FIFTH Congress,1918-04-18,
"Guion, Walter",LA,FIFTH Congress,1918-04-22,
"Wilfley, Xenophon P.",MO,FIFTH Congress,1918-04-30,
"Benet, Christie",SC,FIFTH Congress,1918-07-06,
"Moses, George H.",NH,FIFTH Congress,1918-07-06,
"Mulkey, Frederick W.",OR,FIFTH Congress,1918-07-06,
"Pollock, William P.",SC,FIFTH Congress,1918-07-06,
"Spencer, Selden P.",MO,FIFTH Congress,1918-07-06,
"Ball, L. Heisler",DE,SIXTH Congress,1919-03-04,
"Capper, Arthur",KS,SIXTH Congress,1919-03-04,
"Dial, Nathaniel B.",SC,SIXTH Congress,1919-03-04,
"Edge, Walter E.",NJ,SIXTH Congress,1919-03-04,
"Elkins, Davis",WV,SIXTH Congress,1919-03-04,
"Harris, William J.",GA,SIXTH Congress,1919-03-04,
"Harrison, Pat",MS,SIXTH Congress,1919-03-04,
"Keyes, Henry W.",NH,SIXTH Congress,1919-03-04,
"McCormick, J. Medill",IL,SIXTH Congress,1919-03-04,
"Newberry, Truman H.",MI,SIXTH Congress,1919-03-04,
"Phipps, Lawrence C.",CO,SIXTH Congress,1919-03-04,
"Stanley, A. Owsley",KY,SIXTH Congress,1919-03-04,
"Walsh, David I.",MA,SIXTH Congress,1919-03-04,
"Glass, Carter",VA,SIXTH Congress,1920-02-02,
"Comer, Braxton B.",AL,SIXTH Congress,1920-03-05,
"Willis, Frank B.",OH,SIXTH Congress,1921-01-14,
"Gooding, Frank R.",ID,SIXTH Congress,1921-01-15,
"Broussard, Edwin S.",LA,SEVENTH Congress,1921-03-04,
"Cameron, Ralph H.",AZ,SEVENTH Congress,1921-03-04,
"Caraway, T.H.",AR,SEVENTH Congress,1921-03-04,
"Ernst, Richard P.",KY,SEVENTH Congress,1921-03-04,
"Harreld, John W.",OK,SEVENTH Congress,1921-03-04,
"Ladd, Edwin F.",ND,SEVENTH Congress,1921-03-04,
"McKinley, William B.",IL,SEVENTH Congress,1921-03-04,
"Nicholson, Samuel D.",CO,SEVENTH Congress,1921-03-04,
"Norbeck, Peter",SD,SEVENTH Congress,1921-03-04,
"Oddie, Tasker L.",NV,SEVENTH Congress,1921-03-04,
"Shortridge, Samuel M.",CA,SEVENTH Congress,1921-03-04,
"Stanfield, Robert Nelson",OR,SEVENTH Congress,1921-03-04,
"Watson, Thomas E.",GA,SEVENTH Congress,1921-03-04,
"Weller, Ovington E.",MD,SEVENTH Congress,1921-03-04,
"Bursum, Holm O.",NM,SEVENTH Congress,1921-03-11,
"du Pont, T. Coleman",DE,SEVENTH Congress,1921-07-07,
"Crow, William E.",PA,SEVENTH Congress,1921-10-24,
"Pepper, George Wharton",PA,SEVENTH Congress,1922-01-09,
"Rawson, Charles A.",IA,SEVENTH Congress,1922-02-24,
"Reed, David A.",PA,SEVENTH Congress,1922-08-08,
"Felton, Rebecca L.",GA,SEVENTH Congress,1922-10-03,
"Brookhart, Smith W.",IA,SEVENTH Congress,1922-12-02,
"Bruce, William Cabell",MD,EIGHTH Congress,1923-03-04,
"Copeland, Royal S.",NY,EIGHTH Congress,1923-03-04,
"Dill, Clarence C.",WA,EIGHTH Congress,1923-03-04,
"Edwards, Edward I.",NJ,EIGHTH Congress,1923-03-04,
"Ferris, Woodbridge N.",MI,EIGHTH Congress,1923-03-04,
"Fess, Simeon D.",OH,EIGHTH Congress,1923-03-04,
"Frazier, Lynn J.",ND,EIGHTH Congress,1923-03-04,
"Greene, Frank L.",VT,EIGHTH Congress,1923-03-04,
"Howell, Robert B.",NE,EIGHTH Congress,1923-03-04,
"Mayfield, Earle B.",TX,EIGHTH Congress,1923-03-04,
"Neely, Matthew M.",WV,EIGHTH Congress,1923-03-04,
"Ralston, Samuel Moffet",IN,EIGHTH Congress,1923-03-04,
"Shipstead, Henrik",MN,EIGHTH Congress,1923-03-04,
"Stephens, Hubert D.",MS,EIGHTH Congress,1923-03-04,
"Wheeler, Burton K.",MT,EIGHTH Congress,1923-03-04,
"Adams, Alva B.",CO,EIGHTH Congress,1923-05-17,
"Johnson, Magnus",MN,EIGHTH Congress,1923-07-17,
"Means, Rice W.",CO,EIGHTH Congress,1924-12-01,
"Bingham, Hiram",CT,EIGHTH Congress,1925-01-08,
"Deneen, Charles S.",IL,EIGHTH Congress,1925-02-26,
"Blease, Coleman L.",SC,NINTH Congress,1925-03-04,
"Bratton, Sam G.",NM,NINTH Congress,1925-03-04,
"du Pont, T. Coleman",DE,NINTH Congress,1925-03-04,
"Gillett, Frederick H.",MA,NINTH Congress,1925-03-04,
"Goff, Guy D.",WV,NINTH Congress,1925-03-04,
"McMaster, William H.",SD,NINTH Congress,1925-03-04,
"Pine, William B.",OK,NINTH Congress,1925-03-04,
"Sackett, Frederic M.",KY,NINTH Congress,1925-03-04,
"Schall, Thomas D.",MN,NINTH Congress,1925-03-04,
"Tyson, Lawrence D.",TN,NINTH Congress,1925-03-04,
"Williams, George H.",MO,NINTH Congress,1925-05-25,
"Robinson, Arthur R.",IN,NINTH Congress,1925-10-20,
"Steck, Daniel F.",IA,NINTH Congress,1926-04-12,
"Stewart, David W.",IA,NINTH Congress,1926-08-07,
"Hawes, Harry B.",MO,NINTH Congress,1926-12-06,
"Smith, Frank L.",IL,NINTH Congress,1926-12-06,
"Walsh, David I.",MA,NINTH Congress,1926-12-06,
"Barkley, Alben W.",KY,SEVENTIETH Congress,1927-03-04,
"Black, Hugo L.",AL,SEVENTIETH Congress,1927-03-04,
"Blaine, John J.",WI,SEVENTIETH Congress,1927-03-04,
"Brookhart, Smith W.",IA,SEVENTIETH Congress,1927-03-04,
