countrycode,country,year,gdppc,pop,total_gdp,rank
DEU,Germany,1831,2029.0861949790924,28283.0,57388644.85259367,4.0
ITA,Italy,1831,2510.9133892236705,21652.0,54366296.703470916,5.0
USA,United States,1831,3225.5704,13659.0,44058066.0936,6.0
ESP,Spain,1831,1655.425884576677,13128.0,21732431.012722615,7.0
IDN,Indonesia,1831,811.0,19635.0,15923985.0,8.0
NLD,Netherlands,1831,3264.0,2653.0,8659392.0,9.0
PRT,Portugal,1831,1602.960785335,3512.0,5629598.27809652,10.0
SWE,Sweden,1831,1497.0,2895.0,4333815.0,11.0
DNK,Denmark,1831,2101.0,1275.0,2678775.0,12.0
NOR,Norway,1831,1355.0,1137.0,1540635.0,13.0
CHL,Chile,1831,929.0,986.0,915994.0,14.0
AUS,Australia,1831,1398.0,333.0,465534.0,15.0
GBR,United Kingdom,1832,3612.0,24684.0,89158608.0,1.0
FRA,France,1832,2091.720477664846,33598.0,70277624.6085835,2.0
DEU,Germany,1832,2073.243089853202,28535.0,59159991.56896112,3.0
ITA,Italy,1832,2506.673771850562,21791.0,54622928.1623956,4.0
USA,United States,1832,3342.5600000000004,14078.0,47056559.68000001,5.0
ESP,Spain,1832,1551.8247673145231,13216.0,20508916.124828737,6.0
IDN,Indonesia,1832,811.0,19798.0,16056178.0,7.0
NLD,Netherlands,1832,3417.0,2665.0,9106305.0,8.0
PRT,Portugal,1832,1525.343423331,3532.0,5387512.971205092,9.0
SWE,Sweden,1832,1457.0,2912.0,4242784.0,10.0
DNK,Denmark,1832,2158.0,1276.0,2753608.0,11.0
